NugetName                                             | NugetVersion | LicenceName | LicenceUrl                           
----------------------------------------------------- | ------------ | ----------- | -------------------------------------
Blazor.Bootstrap                                      | 3.3.1        | Apache 2    | https://licenses.nuget.org/Apache-2.0
Blazored.LocalStorage                                 | 4.5.0        | MIT         | https://licenses.nuget.org/MIT       
JetBrains.Annotations                                 | 2023.3.0     | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Authorization                    | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components                       | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components.Analyzers             | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components.Forms                 | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components.Web                   | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components.WebAssembly           | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Components.WebAssembly.Server    | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.AspNetCore.Metadata                         | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Configuration                    | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Configuration.Abstractions       | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Configuration.Binder             | 8.0.1        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Configuration.FileExtensions     | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Configuration.Json               | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.DependencyInjection              | 8.0.1        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.DependencyInjection.Abstractions | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.FileProviders.Abstractions       | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.FileProviders.Physical           | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.FileSystemGlobbing               | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Logging                          | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Logging.Abstractions             | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Options                          | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.Extensions.Primitives                       | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
Microsoft.JSInterop                                   | 8.0.11       | MIT         | https://licenses.nuget.org/MIT       
Microsoft.JSInterop.WebAssembly                       | 8.0.2        | MIT         | https://licenses.nuget.org/MIT       
System.IO.Pipelines                                   | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
System.Text.Encodings.Web                             | 8.0.0        | MIT         | https://licenses.nuget.org/MIT       
System.Text.Json                                      | 8.0.0        | MIT         | https://licenses.nuget.org/MIT
